Site Name,Type,Land-Use Type,Latitude (N),Longitude (W),Total Depth (cm),Segments,Ground?,Dried?,Weighed?,Digested?,Filtered?,ICP?
NSF_UL_UL_1A,UL,Agriculture,40.146111,-111.763333,75,5,Y,Y,Y,Y,N,P
NSF_UL_UL_1B,UL,Agriculture,40.146111,-111.763611,84.5,6,Y,Y,Y,Y,N,N
NSF_UL_UL_1C,UL,Agriculture,40.142778,-111.761667,70,5,Y,Y,Y,Y,N,N
NSF_UL_WL_1D,WL,Agriculture,40.146389,-111.763611,47,3,Y,Y,Y,Y,N,P
NSF_UL_WL_1E,WL,Agriculture,40.146389,-111.763333,42.5,3,Y,Y,Y,Y,N,N
NSF_UL_WL_1F,WL,Agriculture,40.146389,-111.763333,60,4,Y,Y,Y,Y,N,N
NSF_UL_WL_1G_bkgd,WL,Nebo_Loop,NA,NA,56.5,4,N,N,N,N,N,N
NSF_UL_UL_2A,UL,Agriculture,40.146111,-111.763333,84,6,Y,Y,N,N,N,N
NSF_UL_UL_2B,UL,Agriculture,40.146111,-111.763611,67,4,Y,Y,N,N,N,N
NSF_UL_UL_2C,UL,Agriculture,40.142778,-111.761667,69,5,Y,Y,N,N,N,N
NSF_UL_WL_2D,WL,Agriculture,40.146389,-111.763611,69.5,5,Y,Y,N,N,N,N
NSF_UL_WL_2E,WL,Agriculture,40.146389,-111.763333,59,4,Y,Y,N,N,N,N
NSF_UL_WL_2F,WL,Agriculture,40.146389,-111.763333,62,4,Y,Y,N,N,N,N
NSF_UL_UL_3A,UL,New_Development,40.339167,-111.911944,66,4,Y,Y,P,P,N,P
NSF_UL_UL_3B,UL,New_Development,40.339444,-111.911389,66.5,4,Y,Y,N,N,N,N
NSF_UL_UL_3C,UL,New_Development,40.338889,-111.9125,64,4,Y,Y,N,N,N,N
NSF_UL_WL_3D,WL,New_Development,40.338889,-111.9125,59.5,4,Y,Y,P,P,N,P
NSF_UL_WL_3E,WL,New_Development,40.338889,-111.912778,48.5,3,Y,Y,N,N,N,N
NSF_UL_WL_3F,WL,New_Development,40.338611,-111.912222,54.8,4,Y,Y,N,N,N,N
NSF_UL_WL_4A_LM/D,WL,Industrial,40.325278,-111.764444,53.7,4,Y,Y,N,N,N,N
NSF_UL_WL_4B_LM/E,WL,Industrial,40.325278,-111.764444,43,3,Y,Y,N,N,N,N
NSF_UL_WL_4C_LM/F,WL,Industrial,40.325278,-111.764444,44,3,Y,Y,N,N,N,N
NSF_UL_UL_4A,UL,Industrial,40.315833,-111.76417,86,6,Y,Y,P,P,N,P
NSF_UL_UL_4B,UL,Industrial,40.320833,-111.76389,57.2,4,Y,Y,N,N,N,N
NSF_UL_UL_4C,UL,Industrial,40.316639,-111.764722,65.5,4,Y,Y,N,N,N,N
NSF_UL_WL_4D,WL,Industrial,40.315833,-111.764722,68.1,5,Y,Y,P,P,N,P
NSF_UL_WL_4E,WL,Industrial,40.315833,-111.770278,49.6,3,Y,Y,N,N,N,N
NSF_UL_WL_4F,WL,Industrial,40.315833,-111.764722,70.2,5,Y,Y,N,N,N,N
NSF_UL_UL_5A,UL,Mining,40.2390226,-111.863806,45.7,3,Y,Y,N,N,N,N
NSF_UL_UL_5B,UL,Mining,40.2391717,-111.864331,47.5,3,Y,Y,N,N,N,N
NSF_UL_UL_5C,UL,Mining,40.2391391,-111.8640279,53.8,4,Y,Y,N,N,N,N
NSF_UL_WL_5D,WL,Mining,40.239085,-111.8639725,55.2,4,Y,Y,N,N,N,N
NSF_UL_WL_5E,WL,Mining,40.239085,-111.8639725,61.4,4,Y,Y,N,N,N,N
NSF_UL_WL_5F,WL,Mining,40.2390226,-111.863806,50.3,3,Y,Y,N,N,N,N
NSF_UL_UL_6A,UL,Goose Point (Mining),NA,NA,NA,NA,N,N,N,N,N,N
NSF_UL_UL_7A,UL,WWTP,40.336389,-111.775278,51,3,Y,Y,P,P,N,P
NSF_UL_UL_7B,UL,WWTP,40.336667,-111.775556,51.9,3,Y,Y,N,N,N,N
NSF_UL_UL_7C,UL,WWTP,40.336389,-111.775,50.8,3,Y,Y,N,N,N,N
NSF_UL_WL_7D1,WL,WWTP,40.336111,-111.775278,38.5,3,Y,Y,P,P,N,P
NSF_UL_WL_7D2,WL,WWTP,40.336389,-111.775,47,3,Y,Y,N,N,N,N
NSF_UL_WL_7E,WL,WWTP,40.336111,-111.775,48.5,3,Y,Y,N,N,N,N
NSF_UL_WL_7F,WL,WWTP,40.336111,-111.775,65,4,Y,Y,N,N,N,N
NSF_UL_UL_8A,UL,City_Impact,NA,NA,NA,NA,N,N,N,N,N,N
NSF_UL_UL_8B,UL,City_Impact,NA,NA,NA,NA,N,N,N,N,N,N
NSF_UL_UL_8C,UL,City_Impact,NA,NA,NA,NA,N,N,N,N,N,N
NSF_UL_WL_8D,WL,City_Impact,NA,NA,NA,NA,N,N,N,N,N,N
NSF_UL_WL_8E,WL,City_Impact,NA,NA,NA,NA,N,N,N,N,N,N
NSF_UL_WL_8F,WL,City_Impact,NA,NA,NA,NA,N,N,N,N,N,N
NSF_UL_UL_9A,UL,Recreation,40.240511,-111.7384892,49.7,3,Y,Y,N,N,N,N
NSF_UL_UL_9B,UL,Recreation,40.2404795,-111.738516,55.5,4,Y,Y,N,N,N,N
NSF_UL_UL_9C,UL,Recreation,40.240556,-111.738611,55.8,4,Y,Y,N,N,N,N
NSF_UL_WL_9D,WL,Recreation,40.240833,-111.738611,49.5,3,Y,Y,N,N,N,N
NSF_UL_WL_9E,WL,Recreation,40.240833,-111.738611,52,3,Y,Y,N,N,N,N
NSF_UL_WL_9F,WL,Recreation,40.2404795,-111.738516,70.7,5,Y,Y,N,N,N,N
NSF_UL_UL_10A,UL,Mid_Development,40.361111,-111.866389,79.8,5,Y,Y,P,P,N,P
NSF_UL_UL_10B,UL,Mid_Development,40.362222,-111.864722,73.6,5,Y,Y,N,N,N,N
NSF_UL_UL_10C,UL,Mid_Development,40.3625,-111.865556,55,4,Y,Y,N,N,N,N
NSF_UL_WL_10D,WL,Mid_Development,40.361944,-111.864722,47.4,3,Y,Y,P,P,N,N
NSF_UL_WL_10E,WL,Mid_Development,40.362222,-111.865,54.5,4,Y,Y,N,N,N,N
NSF_UL_WL_10F,WL,Mid_Development,40.362222,-111.864444,53,4,Y,Y,N,N,N,N